Dates,News
07-09-2017,Gold holds slight gain as ECB leaves monetary policy unchanged
20-06-2018,fxtm : strong dollar weigh gold amid rising trade tensions
16-06-2017,"August gold settles at $1,256.50/oz, up $1.90, or 0.2%"
03-10-2017,gold falls to 7-week low as dollar firms
31-01-2017,Gold futures finish at highest level in more than a week
24-11-2017,gold prices edge higher on weaker dollar
12-09-2017,Gold prices ease as investors look to riskier assets
07-05-2018,Gold jewellery demand may fall by 2-4% this year: Report
15-11-2017,Gold prices finish lower after 2-session climb
05-06-2018,Expect Gold prices to trade sideways: Angel Commodities
08-10-2018,"Profit-booking, weak global cues pull gold futures down to Rs 31,427"
16-02-2018,Gold Prices Trim Gains as Dollar Rebounds
18-05-2018,gold futures fall roughly 2.2% for the week
14-12-2017,buy the fact: gold jumps after fed rate hike
15-11-2017,gold prices at 1-month highs on weaker dollar
14-06-2018,Gold prices are expected to trade lower today: Angel Commodities
05-10-2018,"Gold futures down Rs 112 on profit booking, global cues"
30-01-2017,Gold futures end higher after four consecutive sessions of losses
21-05-2018,ing : what are key factors to drive gold in short-term?
24-11-2017,Gold finishes slightly lower in abbreviated Black Friday session
16-07-2018,china takes control of gold from the comex
05-12-2018,palladium tops gold after rally driven by surge in global demand
08-09-2017,"Gold hits 10-month high of Rs 31,350"
25-10-2018,Gold rises in futures trade; up 0.54% on global cues
04-09-2018,Commodity outlook: Gold may feel the chill as dollar strengthens
07-03-2017,"April gold down $9.40, or 0.8%, to settle at $1,216.10/oz"
09-10-2017,"gold, silver up in morning trade"
02-08-2018,Gold demand falls 8% in June quarter on weak jewellery sales
25-09-2018,Gold holds steady ahead of Fed meet
04-08-2017,Gold prices end day and week lower as dollar pops after Friday jobs report
03-01-2019,"gold hits six-month high on growth fears, stock volatility"
30-10-2017,Gold futures remain steady following economic data
16-08-2017,"Dec. gold settles at $1,282.90/oz, up $3.20, or 0.3%"
24-01-2017,Gold retreats after notching nearly 10-week high
10-10-2017,Gold prices mark highest finish in 2 weeks
17-03-2017,Gold futures end the week 2.4% higher
09-08-2017,gold registers best one-day gain in about 3 months
09-05-2017,gold gains in asia as trump's firing of comey sparks policy concerns
08-03-2018,gold slips into the red for second day
03-01-2019,"india : despite govt's diktat, gold round-tipping is still flourishing"
07-12-2017,"gold rate today: gold, silver trade lower; should you invest?"
01-02-2017,"February gold slips $2.40, or 0.2%, at $1,209/oz."
09-02-2017,should you invest in gold etfs amid steady outflows?
01-09-2018,Gold climbs as US-China trade picture deteriorates
02-05-2017,world's biggest gold miner etf sees record outflows
05-07-2017,gold jewellery demand may grow by 9% in 2017: icra
11-01-2018,us mint : gold and silver eagle buyers level-headed
21-08-2017,Gold prices climb to highest finish since early June
08-10-2018,gold futures mark lowest settlement in more than a week
06-09-2017,"gold halts 3-day rise, sheds rs 50 on weak demand"
03-11-2017,"Gold prices end at a nearly 3-month low, down 0.2% for the week"
31-05-2018,"dubai : vat impact on gold, diamonds to be reduced between registered dealers: fta"
10-01-2017,"Feb. gold down 70 cents, or less than 0.1%, at $1,184.20/oz"
08-05-2018,"lebanon central bank governor on elections, reforms, gold"
27-11-2017,Gold settles higher to recoup most of last week's loss
04-08-2017,"December gold finishes down 0.8% at $1,264.60/oz."
01-11-2017,"Gold settles higher, extends gains in electronic trading after Fed statement"
06-09-2017,Gold prices are expected to trade positive: Sushil Finance
16-11-2018,france chases london's gold market amid soft-brexit hopes
21-09-2018,gold prices end at 1-week low as stocks hit records and the u.s. dollar regains buoyancy
16-08-2018,bearish gold sentiment presents long-term buying opportunity
31-01-2017,"Gold futures hit highs above $1,217/oz as the U.S. dollar and equities decline"
14-11-2018,Gold edges up as dollar drifts away from multi-month high
09-06-2017,Gold prices down a third-straight session to lose 0.7% for the week
02-08-2018,Gold prices gain as dollar eases against yen
29-08-2018,iran's currency crisis: now it's two gold coins to rent an apartment
26-07-2018,Gold prices edge lower as U.S-EU trade concerns abate
12-04-2017,gold touches 5-month highs on geopolitical tensions
11-01-2017,"Feb. gold climbs $11.10, or 0.9%, to settle at $1,196.60/oz"
11-09-2018,"Gold prices ease as US rate hike views, trade tensions boost dollar"
05-06-2017,Gold holds gains after U.S. data
12-03-2018,lpmcl : five banks open up trillion dollar gold club
24-04-2018,charts : gold prices hold channel as bears push towards 2018 lows
06-11-2018,etfs : october inflows to gold-backed etfs up as investors hedged risk -wgc
28-11-2017,"Gold falls to Rs 30,500 on weak global cues, tepid spot demand"
26-07-2017,gold drifts lower as dollar firms ahead of fed
15-01-2018,gold gains in asia as weaker dollar trend aids buying sentiment
24-07-2018,mongolia's central bank buys 8.3 tons of gold
01-03-2018,"april gold down $12.70, or 1%, to settle at $1,305.20/oz"
16-01-2018,gold futures mark highest finish since sept. 8
31-08-2017,gold prices gain in asia as china caixin pmi jumps
26-02-2018,russia outpaces china in gold rush
20-03-2017,"buy gold, says t gnanasekar"
28-03-2017,"gold, silver trade flat in morning deals"
09-05-2017,Gold prices settle at an eight-week low
25-06-2018,gold futures mark another settlement low for the year
07-03-2018,"gold settles lower, then extends losses in electronic trade after fed beige book"
20-09-2017,korea objects to curbs on gold imports
23-05-2018,abn amro :  gold price weakness not over yet
17-11-2017,"government fixes sovereign gold bond rate at rs 2,961/gram"
12-09-2017,"Gold falls below Rs 31,000-mark; silver down at Rs 41,650 per kg"
03-11-2017,Gold settles at a nearly three-month low
19-01-2018,gold prices settle higher to cut their loss for the week
16-10-2017,"Gold slips but holds above $1,300; copper marks highest finish since 2014"
20-04-2018,gold futures lose roughly 0.7% for the week
09-08-2018,mali : aussies have eyes on world's first fully autonomous underground gold mine in africa's mali
29-03-2018,gold futures slightly lower after economic data
20-12-2017,Gold Prices Remain Supported on U.S. Dollar Softness
02-03-2018,gold prices hold sharp gain after consumer-sentiment reading
10-05-2017,"June gold settles at $1,218.90/oz, up $2.80, or 0.2%"
24-08-2017,"Gold for December delivery off 0.2% at $1,292.2"
10-04-2018,Gold prices to trade volatile today: Angel Commodities
14-11-2018,x8 : this sharia compliant cryptocurrency is backed by gold and 8 fiats
01-02-2019,Gold rates
05-10-2017,us tax reforms putting pressure on gold prices
04-08-2017,"December gold down 0.4% at $1,267/oz."
13-01-2017,"Gold extends early, modest losses after economic data, off $2.30, or 0.2%, at $1,197.60/oz."
15-06-2017,Gold settles at three-week low as Fed interest-rate hike lifts the dollar
26-07-2018,gold steady as dollar eases after u.s.-eu trade talks
28-10-2018,"Gold investment demand returns, but rising dollar is a major hurdle"
15-03-2017,"Prices for gold climb, oil gains more ground after Fed's interest-rate decision"
16-03-2017,Gold rallies to highest finish in two weeks
12-12-2017,"Gold futures fall to Rs 28,178 on weak global cues"
27-04-2017,are you going for physical gold or paper gold this�akshaya�tritiya?
26-10-2017,Gold prices mark lowest settlement since early August
13-06-2018,"gold ends with modest gain, then falls under $1,300 in electronic trade after fed decision"
26-10-2017,Gold drops to lowest finish since early August as dollar rallies to 3-month high
07-04-2017,"June gold futures up $11.50, or 0.9%, to $1,264.80 an ounce"
19-01-2018,bitcoin slump drives up investors' appetite for gold
15-08-2017,"Dec. gold drops $10.70, or 0.8%, to settle at $1,279.70/oz"
12-09-2017,"Gold, silver decline further on global cues"
03-05-2017,Kinross Gold upgraded to outperformer from neutral at CIBC
07-05-2018,"Gold rises to Rs 32,180; silver jumps by Rs 100/kg"
10-04-2018,gold to platinum ratio hits all time highs
02-11-2017,"December gold trades 0.1% lower at $1,275.80/oz."
12-03-2018,Gold Prices Turn Lower as Sentiment Remains Supported
06-02-2017,Gold miner ETF rises as futures look at highest settlement in 3 months
19-11-2018,"Commodity outlook: Gold may see low-level buying, crude to stabilise"
30-08-2017,"Dec. gold down $4.80, or 0.4%, to settle at $1,314.10/oz"
19-12-2017,gold prices gain slightly in asia as us tax cuts hit slight snag
01-03-2017,"April gold settles at $1,250/oz, down $3.90, or 0.3%"
31-01-2019,India's 2019 gold demand forecast at 750-850 T: WGC
21-09-2017,"Dec. gold drops $21.60, or 1.6%, to settle at $1,294.80/oz"
01-08-2017,"gold slides by rs 120 on global cues, fall in demand"
15-11-2018,Gold futures recover Rs 44 on fresh positions
31-05-2017,"June gold at $1,274.60/oz in electronic trade vs. $1,275.40 settlement"
18-07-2017,"Gold recaptures Rs 29,000-mark; silver climbs to Rs 38,500"
24-10-2017,"gold edges up, but stuck in tight range"
09-05-2018,gold heads modestly lower less than an hour ahead of comex settlement
17-10-2017,"scientists witness huge cosmic crash, find origins of gold"
28-06-2018,gold futures end lower for a fourth straight session
03-12-2018,"g20 summit - key takeaways & potential impact on dollar, gold, and stock markets"
22-08-2018,gold output in key countries to slump to 'generational' lows - report
14-11-2018,china : the way ahead for china's gold market
17-08-2017,"December gold up 0.6% at $1,290.60/oz."
13-07-2017,Gold snaps 3-session win streak
28-08-2018,"commerzbank : gold to reclaim $1,300 an ounce by the end of 2018"
19-10-2017,Gold finishes higher after posting declines in the last 3 sessions
22-01-2018,"feb. gold settles at $1,331.90/oz on comex, down $1.20, or nearly 0.1%"
06-12-2017,gold prices ease despite slightly weaker dollar
22-02-2018,Gold Prices Remain Under Pressure After Upbeat U.S. Data
06-02-2018,intl fc stone : an efficient and effective platform for accessing physical gold
22-10-2017,gold prices down in asia on monday as dollar gains
16-03-2017,traders divided on gold gst rate
06-02-2017,Gold futures log highest settlement since Nov. 10
23-04-2018,Gold slips to two-week low as rising bond yields support dollar
22-06-2017,"gold tallies back-to-back gains, and claws out from 5-week low"
04-01-2017,"gold climbs rs 200 on global cues, silver regains rs 40k-mark"
28-09-2017,Gold remains slightly lower after economic data
08-02-2018,cryptocurrencies may rival gold as a store of value - marketing analyst
10-10-2018,gold cot myth debunked - speculators are usually right
28-02-2018,"gold overlooked, ignored & shunned, despite a great technical picture & upside potential"
15-09-2017,Gold prices suffer first weekly loss in a month
05-09-2017,"Dec. gold gains $14.10, or 1.1%, to settle at $1,344.50/oz"
19-06-2018,"blackrock : there is still a case for gold, just at a lower exposure"
01-12-2017,commerce secretary for review of import duty on gold
25-06-2018,"gold recovers early lost ground, back around $1270 level"
04-10-2017,"Dec. gold settles at $1,276.80/oz, up $2.20, or 0.2%"
23-11-2017,Gold is expected to trade positive: Sushil Finance
22-01-2018,is gold on the verge of breaking out?
01-12-2017,Feb. gold contract ends with a weekly loss of roughly 0.7%
18-12-2017,Gold Prices Edges Higher as U.S. Dollar Pulls Back
09-05-2018,gold futures log a modest decline for a third straight session
12-09-2017,Gold prices settle lower for a second-straight session
29-09-2017,"gold, silver to trade sideways on friday; here's why"
17-09-2018,gold speculators cut back on their bearish bets this past week
05-06-2017,Gold marks second-straight session gain
26-01-2017,"Feb. gold settles at $1,189.80/oz, down $8, or 0.7%"
20-11-2017,"Gold tumbles, tracking dollar amid German political uncertainty"
29-08-2017,"gold, silver trade higher on rising geopolitical tensions"
24-05-2017,"June gold pulls back to $1,251.20/oz in electronic trade, down from session's finish"
29-09-2017,"Dec. gold down $3.90, or 0.3%, for the session to settle at $1,284.80/oz"
24-05-2017,"gold tops rs 29,000-mark, up rs 185 on jewellers' buying"
06-12-2018,charts : gold hits resistance near 1243 and pulls back
04-06-2018,gold slips as relative calm returns to europe markets
12-05-2017,"Gold rebounds to Rs 28,550 on firm global cues, spot demand"
11-10-2017,"Gold falls to Rs 30,750 on weak demand"
19-04-2017,Polymetal gold output rises; keeps 2017 targets
26-05-2017,"Gold prices settle higher, gain over 1% for the week"
14-06-2017,"Gold dips in Asia after Fed hike, but steady dollar offers support"
16-05-2017,Gold prices tick slightly higher after housing data
29-11-2018,Gold gains as US dollar weakens after cautious Fed speech
08-11-2018,gold futures settle lower ahead of fed policy statement
30-11-2017,"Gold ends at a more than 1-week low, but notches slight monthly gain"
15-03-2017,Gold climbs in electronic trading after Fed decision to raise interest rates
09-01-2017,Gold prices settle at highest level in nearly 6 weeks
16-02-2017,Gold futures mark highest settlement since Nov. 10
10-10-2017,mcx to launch options trading in gold on dhanteras; stock down
01-09-2017,"Gold prices climb 2.5% for the week, settle at highest since late September"
04-04-2018,"gold bears keep the market below the $1,350 resistance as risk appetite returns"
21-11-2018,"gold ends at a 2-week high, turns higher week to date"
24-10-2018,"Gold prices inch up amid international economic, political worries"
23-08-2017,"Gold gets a boost from U.S. dollar, equities weakness"
28-05-2018,"Gold tumbles by Rs 405 per 10 gm on weak global cues, lower demand"
28-02-2018,gold suffers first monthly loss since october
22-08-2018,russia is stockpiling gold as fresh us sanctions loom
24-10-2018,$1240 : gold prices fighting to break out
09-07-2018,charts : gold firms off the bottom of the box
24-04-2018,"Gold edges up, but safe-haven demand begins to fade"
04-09-2017,"gold, silver trade higher on rising geo-political unrest"
09-08-2017,Gold logs best daily gain in 3 months on heightened geopolitical tensions
20-12-2017,"bitcoin mining is costly, just like gold mining"
03-12-2018,"feb. gold climbs $13.60, or 1.1%, to settle at $1,239.60/oz"
15-02-2017,Gold futures score first gain in 5 sessions
07-02-2017,gold to trade in 28851-29391 range: achiievers equities
05-05-2017,"Gold up on safe-haven bid, but on track for worst week since November"
01-08-2018,Gold comes under pressure from US tariff reports
14-12-2018,offshore gold storage
16-01-2018,world gold council spots trends that'll be gold's 2018 friends
09-10-2018,charts : gold's safe haven fades - double bottom pattern plays
25-10-2017,Your 401(k) plan could be a gold mine if you do these two simple things
14-09-2018,Gold Rate Today: Gold prices sizzle as dollar falters
18-07-2017,"Gold futures jump to Rs 28,328 per 10 gm"
08-12-2017,gold inches up after slumping to over 4-month low
10-08-2017,Gold ends at 2-month high as North Korea tension lifts haven assets
28-12-2017,gold notches sixth consecutive gain as dollar adds to losses
23-03-2018,gold surges above $1350 as dollar hits trade-war lows
17-08-2017,Gold lifted by haven demand; palladium logs 16-year high
19-09-2018,"Commodity outlook: Gold's run-up may hit a bump at Rs 30,900"
30-11-2018,government puts gold dore imports under restricted category
26-10-2017,"Gold down after weekly jobless claims, trade reports"
29-11-2018,Gold firms up as dollar sags on dovish comments from Fed Chairman
31-08-2017,Gold inches lower as dollar gains on strong US economic data
22-11-2017,"Dec. gold gains $10.50, or 0.8%, to settle at $1,292.20/oz"
17-07-2018,gold is still dazzling market timers - and that's bearish
27-06-2017,"August gold climbs $3, or 0.2%, to $1,249.40/oz after highs above $1,253"
12-06-2017,Gold marks 4th-straight session loss; palladium ends at lowest since 2014
21-04-2017,Gold's climb for the session erases its weekly loss
31-08-2018,"gold ends higher, but suffers longest stretch of monthly declines in more than 5 years"
08-01-2018,dubai : vat and higher prices suck glitter out of gold
20-04-2018,Gold prices inch down as global political tensions ease
31-10-2017,"gold prices steady, central banks in focus"
20-11-2018,"Gold Rate Today: Gold, sliver lose shine on tepid global cues"
21-03-2018,"debt, defaults and bankruptcies to see higher gold"
12-02-2018,gold price bounce may unravel on us infrastructure plan
03-05-2017,"June gold at $1,251.40/oz in electronic trade, up from $1,248.50 settlement"
15-05-2017,Gold ends at a nearly 2-week high as tensions over North Korea rise
14-09-2017,Gold extends losses after economic reports
14-02-2017,gold futures pare gains as traders weigh comments from fed officials
07-12-2017,google : 'buy bitcoin' is lighting up google as cryptocurrency outshines gold
02-01-2019,south korea : dge launches digital gold exchange and crypto exchange
11-01-2017,Gold futures mark highest finish since Nov. 22
14-09-2018,morgan stanley : a 'rare' call to buy some gold
01-08-2017,"December gold 0.1% lower at $1,272.50/oz."
12-04-2017,Gold prices settle higher for a second straight session
29-09-2017,"Gold prices fall for the month, but gain for the quarter"
22-11-2017,"commerzbank : china, russia, india gold imports from switzerland advance"
14-12-2018,mining : gold supply to increase 2.2% for 2018 - refinitiv
25-09-2017,gold futures slide 0.22% on weak global pointers
04-01-2017,Gold inches up as physical demand offsets stronger dollar
28-02-2017,Gold futures pare loss as ICE U.S. Dollar Index falls to session lows
16-10-2017,"volatility keeping gold prices in check; commodity may soon fall towards rs 28,000"
14-08-2017,gold slips as dollar steadies; n. korea headlines in focus
07-07-2017,"August gold down $13.60, or 1.1%, to end at $1,209.70/oz for the session"
23-05-2017,"june gold settles at $1,255.50/oz, down $5.90, or 0.5%"
02-01-2018,Gold hits over 3-month high on strong technicals
05-03-2018,karatbank : revolution or scam? company creates cryptocurrency bound to actual gold
28-03-2017,"Gold prices mark a loss as U.S. equities, dollar gain ground"
18-04-2017,gold trades lower in early trade on profit booking; brokerages bullish
26-04-2017,"Gold pares loss, oil holds gains as Trump administration announces its tax plan"
23-01-2018,3 trends that could push gold higher in 2018
12-10-2018,ig : gold trading strategies: how to trade gold
20-03-2018,"april gold falls $5.90, or 0.5%, to settle at $1,311.90/oz"
20-09-2017,"gold gets a leg-up on festive demand, prices climb"
18-06-2018,"Gold plunges Rs 335, silver falls below Rs 41K-mark"
17-11-2017,"gold rate today: gold, silver down in early trade"
04-01-2018,"Gold falls to Rs 30,365; silver down by Rs 210 per kg"
01-10-2018,us mint american eagle gold coin sales fall 4.7 pct in september
25-09-2017,"gold falls as dollar firms, n.korea worries ease"
18-04-2017,Gold holds loss after March industrial-production report
04-04-2018,Gold gains as worsening Sino-US trade tensions dent risk appetite
01-11-2017,"Gold prices rise 0.5% to $1,276.70 an ounce"
10-07-2017,next tranche of sovereign gold bonds opens: here's all you need to know
26-07-2017,"Gold ends at 1-week low, then inches higher in electronic trade after Fed statement"
11-01-2018,"etfs : gold-backed etfs added 197.5t in 2017, growing assets by 8.4%"
01-10-2018,"charts : gold and silver - still weak, qrtly, mthly, wkly charts"
02-05-2018,"Gold falls to Rs 32,130; silver plunges by Rs 250/kg"
05-10-2017,"Dec. gold loses $3.60, or 0.3%, to settle at $1,273.20/oz"
11-05-2018,Gold eases as dollar remains firm; eyes first weekly gain in four
14-05-2018,gold 'radically undervalued' with price about to take off - expert
01-08-2017,Gold prices gain 0.5% for highest settlement in nearly eight weeks
05-09-2018,"Gold jumps to Rs 31,400; silver down by Rs 250 per kg"
04-09-2017,Gold hits near one-year peak as tensions rise over North Korea
16-11-2018,Gold futures up Rs 44 on firm global leads
15-11-2018,Gold prices hold steady as dollar eases
19-10-2018,"Commodity outlook: Gold, silver may trade sideways; base metals look weak"
10-12-2018,sharps pixley: the state of the gold market and where it may be headed
05-07-2018,indians are falling out of love with gold and have a new-found fascination
03-01-2017,gold to trade in 27325-27723 range: achiievers equities
03-09-2018,Gold down as rising trade tensions unnerve investors
17-07-2017,Gold inches up as prospects for further US rate hikes weigh on dollar
12-12-2017,"gold hits 4-month low, slips rs 180 on overseas trend"
24-05-2017,Gold prices inch up in electronic trading after release of Fed minutes
24-01-2019,"Gold firm as growth concerns, US govt shutdown drag dollar"
05-09-2018,world gold council : slowdown in etf inflows drives 4% drop in gold demand
03-08-2018,cme group gold volume shoots up by 16% y/y during july
30-10-2018,td securities : equity weakness needed to maintain gold rally
11-04-2018,"precious - gold rises as risk aversion hurts equities, dollar"
27-10-2017,Gold prices end the week 0.7% lower
21-02-2017,"Profit-taking, weak global cues pull gold futures down to Rs 29,210"
09-11-2017,"Dec. gold settles at $1,287.50/oz, up $3.80, or 0.3%"
11-12-2017,russia-china real gold standard means end of us dollar dominance
27-02-2017,Gold holds near 3-1/2 month high; Trump's economic policy in focus
30-08-2018,south africa : unions declare dispute over wage talks with gold firms
09-03-2017,"April gold off $2.20, or 0.2%, at $1,207.40/oz."
04-08-2017,Gold prices fall after jobs report
31-08-2017,"Dec. gold gains $8.10, or 0.6%, to settle at $1,322.20/oz"
03-03-2017,expect indian gold demand to pickup in 2017: wgc
26-11-2018,"Firm dollar caps gold rise, investors eye G20 summit"
26-09-2017,gold inches lower as us dollar steadies
13-10-2017,"Gold clears key $1,300 line as consumer inflation reading misses mark"
22-05-2017,Gold prices settle at highest level since April 28
27-11-2017,Gold Prices Remain Higher on Weaker Dollar
15-09-2017,"Dec. gold down $4.10, or 0.3%, to settle at $1,325.20/oz"
12-11-2018,india : the truth about the nizam and his gold
27-04-2017,Gold maintains slight gain after ECB keeps monetary policy unchanged
22-11-2018,"Gold rises on easing dollar, uncertain US rate hike path"
26-07-2018,etfs : gold etf flows shift course
25-08-2017,"gold steady ahead of speeches by yellen, draghi at jackson hole"
13-02-2017,Gold futures mark biggest one-day loss in 2 1/2 weeks
19-09-2018,"december gold climbs 0.6% at $1,209.50/oz."
05-01-2018,"feb. gold climbs 70 cents, or less than 0.1%, to settle at $1,322.30/oz"
21-07-2017,Gold prices climb toward intraday highs on Comex
01-11-2017,"December gold rises 0.5% at $1,276/oz."
12-10-2017,gold futures rise 0.49% on global cues
17-10-2018,Gold futures fall 0.19% on weak global cues
12-11-2018,india : rising gold price vindicates rbi's investment plan
28-12-2017,"Gold rallies to Rs 30,250; silver gains by Rs 250 per kg"
08-05-2017,Gold tallies a modest gain after worst week of 2017
28-04-2017,gold to trade in 28649-28877: achiievers equities
15-06-2017,"Gold holds sharp losses after data, including jobless claims, Philly Fed"
01-06-2017,"August gold down 0.8% at $1,265.40/oz."
12-11-2018,Gold prices steady but under pressure from firmer dollar
28-09-2018,"gold futures down 0.4% for the week, loses 0.9% for the month"
01-11-2017,"gold rate today: gold, silver trade lower in morning trade"
22-11-2017,"Gold remains higher after jobless claims, durable goods data"
20-01-2017,how gold tends to perform in presidential inauguration years
11-12-2017,gold rate today: gold trades in the red in morning deals; silver up
22-01-2018,wgc : four factors to underpin gold demand growth in 2018
25-10-2017,Gold turns higher ahead of closing bell to notch a modest gain
12-12-2017,"Gold falls to over 4-month low of Rs 29,400"
19-09-2017,"Dec. gold falls 20 cents to settle at $1,310.60/oz"
05-09-2018,bloomberg intelligence : this will 'unlock the cage for well-rested gold bulls'
23-11-2017,gold futures weaken by 0.15% on global cues
07-04-2017,gold spikes to 5-month highs as us launches missile strikes on syria
15-11-2017,"December gold up 0.3% at $1,286.40/oz."
06-04-2017,Gold slightly trims gains after jobless-claims report
17-05-2017,"June gold jumps $21.10, or 1.7%, to $1,257.50/oz"
25-12-2018,"Gold firms up by Rs 125 per 10 gm, silver remains flat"
23-03-2017,Gold prices settle lower to end a multisession rise
31-01-2019,"Gold slips Rs 70 to Rs 34,000/10gm on muted demand "
14-08-2018,"december gold gains $1.80, or 0.2%, to settle at $1,200.70/oz."
29-11-2017,Gold remains lower after third-quarter GDP update
11-10-2017,Gold ends lower for first time in 4 sessions ahead of FOMC minutes
25-10-2018,three stages of gold
19-09-2018,"saudis gave mko gold, rolex watches worth hundreds of millions of dollars"
30-11-2017,gold holds near 1-week low as stronger us economy data weighs
24-02-2017,Gold futures eye fourth consecutive week of gains
08-03-2017,"April gold off $6.10, or 0.5%, at $1,209.90/oz."
17-12-2018,gold prices edge down as firm dollar weighs
27-10-2017,"Gold prices rise for the session, but end the week lower"
03-08-2017,"Gold settles down $4, or 0.3%, at $1,274.40 an ounce"
31-05-2017,"Gold prices little changed, eyes on U.S. jobs data"
27-09-2017,Gold adds to early loss after durable-goods orders
06-11-2018,is india losing its love for gold?
10-12-2018,world gold council : global gold-backed etf flows are now positive in 2018
26-09-2018,world gold council sets up china chapter
17-07-2017,"August gold trades up $5.90, or 0.5%, at $1,233.50/oz."
20-06-2017,"Gold down a second-straight session, marks lowest finish in five weeks"
10-07-2017,Gold prices claw back from their lowest level in four months
05-09-2017,Gold rallies to highest finish in nearly a year
14-11-2017,hallmark 21 karat gold for exports too'
18-06-2017,gold / silver / copper futures - weekly outlook: june 19 - 23
12-06-2018,"gold prices fall under $1,300 for lowest finish in over a week"
02-01-2018,longer cycles for gold and the us dollar
27-10-2017,Gold little changed as dollar gains versus euro on ECB policy
28-04-2017,"June gold up $2.20, or 0.2%, at $1,268/oz."
04-09-2017,Gold rises near 1-year high after North Korea claims nuclear test success
21-09-2017,"Gold ends below $1,300 for first time in September after Fed's rate-hike hint"
20-08-2018,"negative bets against gold surge, could be tipping point "
07-08-2017,"Gold ends slightly higher, halts 3-session skid"
04-07-2018,"Gold surges to Rs 31,570; silver slips below Rs 40K-mark"
02-05-2018,"june gold down $1.20, or 0.1%, to settle at $1,305.60/oz"
01-12-2017,"Feb. gold gains $14.90, or 1.2%, to $1,291.50/oz"
09-03-2017,"Gold settles down $6.20, or 0.5 %, at $1,203.20 for 8th day of losses"
17-09-2018,"gold prices reclaim $1,200 ahead of new u.s. tariffs on china"
08-06-2017,"August gold down $19.20, or 1.5%, to $1,274/oz"
12-12-2017,Gold Prices Remain 5-Month Lows with Fed in Focus
12-01-2017,"Gold futures rise to Rs 28,347 per 10 gm"
25-07-2018,Gold Prices Slip for Two Consecutive Days on Stronger Dollar
31-07-2017,"Gold ends marginally lower, but posts monthly gain"
11-01-2017,"Gold futures rally to 7-week high near $1,200 an ounce"
24-08-2018,"dec. gold gains $14.60, or 1.2%, to $1,208.60/oz"
15-02-2018,frank holmes : gold: to preserve and grow your money
12-10-2017,Gold prices settle at highest in more than 2 weeks
22-05-2017,"June gold gains $7.80, or 0.6%, to settle at $1,261.40/oz"
18-04-2017,Gold shakes off weakness to eke out a gain as dollar falls
01-11-2017,"Dec. gold climbs by $5.40, or 0.4%, to $1,275.90/oz"
29-08-2017,Gold tallies third-straight session gain to settle at 11-month high
10-08-2017,weak dollar acts as a boon for gold price rally
06-09-2017,Gold retreats after President Trump agrees to raise debt ceiling
03-05-2018,the case for gold in the era of financial virtual reality
05-11-2018,Gold prices steady ahead of US midterm elections
15-12-2017,turkey's 'shadowy' gold trade raises questions about iran's involvement
29-10-2018,central banks : gold demand up 42% in expectation of geopolitical shift
14-11-2018,degussa : the missing fear - and the case for gold
23-07-2017,gold to move in a narrow range in 2017 but could move to $1450/oz in 2018
17-10-2017,Gold prices mark lowest settlement in more than a week
06-07-2017,"Gold tallies back-to-back gains as dollar weakens, central banks point to end of QE"
11-04-2017,"Gold futures rise to Rs 28,844 on firm global cues"
22-11-2017,bitcoin is 15 times more expensive to keep safe than gold
05-03-2018,"Gold futures up at <U+20B9> 30,492 "
21-12-2017,oil and gold looking a little bit more 'normal' as 2017 draws to a close
02-03-2017,Gold at 1-week lows as dollar inches higher
16-04-2018,gold broke out and then broke down
28-06-2018,"august gold down $5.10, or 0.4%, to settle at $1,251/oz"
11-10-2018,charts : the gold price inverse head-and-shoulders pattern is classic
13-01-2017,"Gold falls for the session, but gains about 2% on week"
07-12-2017,"wgc : more gold to be used in new apple iphones, samsung smartphones"
27-09-2017,"Gold jumps to Rs 31,000; silver slumps to Rs 40,800"
11-10-2017,Gold prices hold steady ahead of Fed minutes
09-08-2017,today gold price: track today's gold rate latest trends and news
02-11-2017,"December gold trades 0.2% lower at $1,275.30/oz."
12-03-2018,gold prices struggle to maintain march gains- us cpi on tap
14-09-2018,"dec. gold loses $7.10, or 0.6%, to settle at $1,201.10/oz"
18-01-2018,plunging u.s. dollar has gold investors feeling great
01-08-2017,gold trades in red in morning trade; silver up
29-09-2017,Gold holds small gain after inflation data
01-05-2018,who are the biggest gold investors?
14-11-2017,heraeus : what's with all these mysterious flash trades jolting the gold market lately?
18-07-2018,baml : this could finally be the time to buy gold
04-12-2017,gold etfs soar as russia probe closes in on trump's inner circle
11-05-2017,Gold scores first back-to-back gains in nearly 2 weeks as dollar steadies
03-09-2018,Commodity outlook: Gold still feeling the squeeze from dollar
23-08-2018,"Gold slips to Rs 30,620 on weak global cues, lower spot demand"
15-05-2017,gold imports surge 3-fold to $3.85 billion in april
12-10-2018,"dec. gold falls $5.60, or 0.5%, to settle at $1,222/oz"
09-11-2017,gold demand slides to eight-year low in q3 2017 - wgc
17-04-2018,$1350 : gold price tries $1350 for 13th time in 5 years as 'actual war' pushes trade war aside
28-10-2017,How you'll know when it's time to buy gold
15-05-2018,turkish gold imports triple as the central bank diversifies out of dollars
06-04-2018,"it's time to buy gold, sell u.s. chip companies as u.s.-china trade dispute intensifies"
22-05-2018,goldman sachs elliot wave technical analysis on gold - levels to watch
06-02-2018,uae : gold jewelry demand seen at 20-year low in united arab emirates
